segment_id,original_file,label,segment_index,original_length,strategy
seg_000002,JS00016.hea,1,0,5000,head_tail
seg_000003,JS00023.hea,1,0,5000,head_tail
seg_000005,JS00034.hea,1,0,5000,head_tail
seg_000007,JS00038.hea,1,0,5000,head_tail
seg_000009,JS00043.hea,1,0,5000,head_tail
seg_000012,JS00050.hea,1,0,5000,head_tail
seg_000014,JS00064.hea,1,0,5000,head_tail
seg_000015,JS00067.hea,1,0,5000,head_tail
seg_000017,JS00074.hea,1,0,5000,head_tail
seg_000019,JS00080.hea,1,0,5000,head_tail
seg_000021,JS00092.hea,1,0,5000,head_tail
seg_000022,JS00105.hea,1,0,5000,head_tail
seg_000024,JS00112.hea,1,0,5000,head_tail
seg_000026,JS00122.hea,1,0,5000,head_tail
seg_000027,JS00125.hea,1,0,5000,head_tail
seg_000028,JS00132.hea,1,0,5000,head_tail
seg_000029,JS00137.hea,1,0,5000,head_tail
seg_000030,JS00141.hea,1,0,5000,head_tail
seg_000032,JS00145.hea,1,0,5000,head_tail
seg_000033,JS00151.hea,1,0,5000,head_tail
seg_000034,JS00158.hea,1,0,5000,head_tail
seg_000035,JS00176.hea,1,0,5000,head_tail
seg_000038,JS00195.hea,1,0,5000,head_tail
seg_000041,JS00209.hea,1,0,5000,head_tail
seg_000043,JS00215.hea,1,0,5000,head_tail
seg_000044,JS00219.hea,1,0,5000,head_tail
seg_000045,JS00234.hea,1,0,5000,head_tail
seg_000046,JS00238.hea,1,0,5000,head_tail
seg_000049,JS00249.hea,1,0,5000,head_tail
seg_000050,JS00250.hea,1,0,5000,head_tail
seg_000052,JS00260.hea,1,0,5000,head_tail
seg_000053,JS00266.hea,1,0,5000,head_tail
seg_000054,JS00269.hea,1,0,5000,head_tail
seg_000057,JS00276.hea,1,0,5000,head_tail
seg_000059,JS00296.hea,1,0,5000,head_tail
seg_000060,JS00306.hea,1,0,5000,head_tail
seg_000061,JS00316.hea,1,0,5000,head_tail
seg_000062,JS00318.hea,1,0,5000,head_tail
seg_000063,JS00321.hea,1,0,5000,head_tail
seg_000066,JS00334.hea,1,0,5000,head_tail
